"temp","history","you","other","person","groupnumber","round","stage","treatment","source","id","coop","ocoop","pay","delta","suggestion","first_stage","first_round","rd","sgpe","game_type","dec_round"
1,"History",1,1,10,8,11,2,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,3
1,"History",1,1,10,8,11,3,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,3
1,"History",2,1,10,11,12,1,"3","230321_1349",2,0,1,"normal","high","GT",1,0,0,1,1,3
1,"History",1,2,10,11,12,2,"3","230321_1349",2,1,0,"normal","high","GT",0,0,0,1,1,3
1,"History",1,1,10,11,12,3,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,3
1,"History",1,1,10,11,12,4,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,3
1,"History",1,1,10,11,12,5,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,3
1,"History",1,1,10,11,12,6,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,3
1,"History",2,1,10,2,13,1,"3","230321_1349",2,0,1,"normal","high","GT",1,0,0,1,1,3
1,"History",1,1,10,2,13,2,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,3
1,"History",2,1,10,1,14,1,"3","230321_1349",2,0,1,"normal","high","GT",1,0,0,1,1,3
1,"History",1,1,10,1,14,2,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,3
1,"History",2,1,10,7,15,1,"3","230321_1349",2,0,1,"normal","high","GT",1,0,0,1,1,3
1,"History",1,1,10,7,15,2,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,3
1,"History",1,2,10,7,15,3,"3","230321_1349",2,1,0,"normal","high","GT",0,0,0,1,1,3
1,"History",1,1,10,7,15,4,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,3
1,"History",1,1,10,7,15,5,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,3
1,"History",1,1,10,7,15,6,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,3
1,"History",1,1,10,7,15,7,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,3
1,"History",1,1,10,7,15,8,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,3
1,"History",2,1,10,1,16,1,"3","230321_1349",2,0,1,"normal","high","GT",1,0,0,1,1,4
1,"History",2,2,10,3,17,1,"3","230321_1349",2,0,0,"normal","high","GT",1,0,0,1,1,4
1,"History",1,2,10,3,17,2,"3","230321_1349",2,1,0,"normal","high","GT",0,0,0,1,1,4
1,"History",2,2,10,3,17,3,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,4
1,"History",2,2,10,3,17,4,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,4
1,"History",2,2,10,3,17,5,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,4
1,"History",2,1,10,2,18,1,"3","230321_1349",2,0,1,"normal","high","GT",1,0,0,1,1,4
1,"History",2,1,10,1,19,1,"3","230321_1349",2,0,1,"normal","high","GT",1,0,0,1,1,4
1,"History",1,2,10,1,19,2,"3","230321_1349",2,1,0,"normal","high","GT",0,0,0,1,1,4
1,"History",2,1,10,10,20,1,"3","230321_1349",2,0,1,"normal","high","GT",1,0,0,1,1,4
1,"History",1,2,10,10,20,2,"3","230321_1349",2,1,0,"normal","high","GT",0,0,0,1,1,4
1,"History",1,2,10,10,20,3,"3","230321_1349",2,1,0,"normal","high","GT",0,0,0,1,1,4
1,"History",2,2,10,10,20,4,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,4
1,"History",2,1,10,8,21,1,"3","230321_1349",2,0,1,"normal","high","GT",1,0,0,1,1,5
1,"History",1,2,10,8,21,2,"3","230321_1349",2,1,0,"normal","high","GT",0,0,0,1,1,5
1,"History",1,1,10,3,22,1,"3","230321_1349",2,1,1,"normal","high","GT",1,0,0,1,1,5
1,"History",1,1,10,3,22,2,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,5
1,"History",2,1,10,7,23,1,"3","230321_1349",2,0,1,"normal","high","GT",1,0,0,1,1,5
1,"History",1,2,10,7,23,2,"3","230321_1349",2,1,0,"normal","high","GT",0,0,0,1,1,5
1,"History",1,1,10,7,23,3,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,5
1,"History",1,1,10,7,23,4,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,5
1,"History",1,1,10,7,23,5,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,5
1,"History",1,1,10,7,23,6,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,5
1,"History",1,1,10,7,23,7,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,5
1,"History",2,1,10,1,24,1,"3","230321_1349",2,0,1,"normal","high","GT",1,0,0,1,1,5
